County,White Collar,Blue Collar,Grey Collar
ALAMANCE,53.5,33.8,12.6
ALEXANDER,39.4,49.4,11.2
ALLEGHANY,43.3,39.6,17.1
ANSON,39.2,43.9,16.9
ASHE,42.9,40.8,16.3
AVERY,45.8,31.4,22.8
BEAUFORT,50.9,32.7,16.4
BERTIE,39,40.5,20.5
BLADEN,45.3,36,18.7
BRUNSWICK,48.5,32.5,19
BUNCOMBE,57.6,26.6,15.9
BURKE,42.3,41.6,16.2
CABARRUS,56.9,30.5,12.7
CALDWELL,41.4,48.3,10.3
CAMDEN,52,31.5,16.5
CARTERET,53.7,27.9,18.4
CASWELL,42.3,43.4,14.3
CATAWBA,47.8,40.8,11.4
CHATHAM,56.2,31.9,11.9
CHEROKEE,42.7,40.1,17.2
CHOWAN,45.1,33.4,21.4
CLAY,48.1,34.5,17.4
CLEVELAND,44.5,42.6,12.8
COLUMBUS,45.2,35.4,19.4
CRAVEN,52.1,30,17.9
CUMBERLAND,55.9,27,17.1
CURRITUCK,50,32.2,17.8
DARE,55.7,23.8,20.5
DAVIDSON,47.1,41.1,11.8
DAVIE,54.3,34.6,11.1
DUPLIN,42,38.3,19.7
DURHAM,69.1,17.3,13.5
EDGECOMBE,43.2,39.9,16.9
FORSYTH,61.5,24.5,14
FRANKLIN,49.1,36.5,14.4
GASTON,50.2,37.6,12.2
GATES,46.9,35.9,17.2
GRAHAM,39.1,43,17.9
GRANVILLE,50.6,32.8,16.6
GREENE,41.5,37.2,21.2
GUILFORD,63.5,23.7,12.8
HALIFAX,45,34.7,20.4
HARNETT,48.2,36.5,15.3
HAYWOOD,50,32,18
HENDERSON,53.2,30.6,16.2
HERTFORD,47.3,34.6,18.1
HOKE,43.9,37.9,18.2
HYDE,42.6,23.6,33.8
IREDELL,51.6,36.5,11.9
JACKSON,54.7,24.7,20.6
JOHNSTON,55.7,31.9,12.4
JONES,42,37.9,20.1
LEE,48.4,38.8,12.7
LENOIR,48.1,34.1,17.8
LINCOLN,44.6,44.3,11.1
MACON,37.6,47.6,14.8
MADISON,52.7,30.6,16.7
MARTIN,48.9,35.5,15.6
MCDOWELL,45,37.4,17.6
MECKLENBURG,68.8,19.1,12.1
MITCHELL,40.7,42,17.4
MONTGOMERY,41.7,45.1,13.2
MOORE,54.3,27.7,18.1
NASH,55.6,31.2,13.2
NEW HANOVER,61.5,21.7,16.8
NORTHAMPTON,43,34.9,22.1
ONSLOW,54,25.5,20.5
ORANGE,72.3,14.3,13.4
PAMLICO,48.1,34.2,17.7
PASQUOTANK,51.9,26.5,21.6
PENDER,48,34.6,17.4
PERQUIMANS,46.2,32.4,21.5
PERSON,46.6,38.4,15
PITT,59.8,23.9,16.3
POLK,52.5,32.1,15.4
RANDOLPH,44.7,43.9,11.4
RICHMOND,42.9,40.7,16.4
ROBESON,39.8,43.7,16.6
ROCKINGHAM,44.7,42.1,13.2
ROWAN,45.4,40.8,13.8
RUTHERFORD,42.8,42.8,14.4
SAMPSON,44.1,36.6,19.2
SCOTLAND,48.6,36.5,14.9
STANLY,44.4,40.3,15.3
STOKES,46.4,42.1,11.4
SURRY,46,41.1,12.9
SWAIN,49.6,27.4,23
TRANSYLVANIA,49.9,32.3,17.8
TYRRELL,41.3,30.9,27.8
UNION,58.7,28.9,12.3
VANCE,48.6,36.4,15
WAKE,73,15.7,11.2
WARREN,45.7,34.7,19.6
WASHINGTON,43.9,36.6,19.6
WATAUGA,60.9,19.6,19.5
WAYNE,52.4,30.3,17.3
WILKES,45.6,40.5,13.9
WILSON,48.1,35.4,16.5
YADKIN,45.9,41,13.2
YANCEY,39.8,41.4,18.8
