County,Catholic,Evangelical,Mainline,Jewish,Other
Adams,21.52,8.26,23.62,0.24,0
Allegheny,49.37,4.17,13.55,2.7,1.79
Armstrong,18.21,6.86,32.74,0,0.04
Beaver,35.51,5.57,17.2,1.09,2.56
Bedford,4.11,15.11,22.81,0,0
Berks,21.56,3.96,27.28,0.59,0.31
Blair,24.83,10.33,19.62,0.45,0.32
Bradford,11.77,5.74,22.85,0,0
Bucks,43.76,3.2,12.49,5.82,0.57
Butler,30.3,7.92,20.15,0.14,0.45
Cambria,54.8,5.52,19.25,0.18,1.59
Cameron,26.45,8.62,21.41,0,0
Carbon,33.72,1,27.65,0,0.71
Centre,15.65,6.84,18.7,0.52,0.4
Chester,32.43,3.09,15.45,2.33,1.55
Clarion,16.67,8.3,23.39,0,0
Clearfield,21.84,7.77,20.65,0.24,0.61
Clinton,11.99,7.92,19.81,0.26,0
Columbia,12.69,5.34,28.88,0,0
Crawford,14.42,7.64,17.98,0,0
Cumberland,16.51,11.39,24.82,0.94,0.79
Dauphin,16.46,7.82,21.44,1.99,1.25
Delaware,48.94,2.12,11.01,2.85,2.26
Elk ,64.64,2.74,13.93,0,0
Erie ,36.79,6.85,14.29,0.3,0.21
Fayette,23.98,6.99,16.62,0.1,0.19
Forest,7.99,5.72,18.22,0,0
Franklin,6.61,12.63,18.83,0.29,0.08
Fulton,1.79,8.04,22.27,0,0
Greene,14.73,9.95,18.83,0,0.37
Huntingdon,5.82,10.57,21.36,0,1.37
Indiana,14.85,6.67,19.58,0.25,1.5
Jefferson,21.43,9.02,23.62,0,0
Juniata,1.47,16.3,32.4,0,0
Lackawanna,49.73,2.58,11.19,1.45,1.24
Lancaster,10.02,18.98,18.32,0.64,0.01
Lawrence,34.58,9.56,19.32,0.21,1.34
Lebanon,11.59,9.66,26.86,0.29,0
Lehigh,26.86,3.16,24.82,1.36,1.11
Luzerne,41.53,2.86,13.47,1.1,1.1
Lycoming,14.19,7.09,26.67,0.1,0.13
McKean,22.42,7.38,20.4,0.48,0
Mercer,24.07,7.52,24.16,0.25,0.75
Mifflin,3.79,16.15,26.82,0,0
Monroe,28.04,2.95,13.1,0.43,0.33
Montgomery,35.11,3.97,16.32,7.94,0.51
Montour,18.63,5.57,29.5,0,0
Northampton,35.85,2.53,25.74,1.59,2.06
Northumberland,21.98,8.96,28.55,0.21,0.4
Perry,4.27,7.6,24.99,0,0
Philadelphia,32.4,3.97,7.36,5.71,3.72
Pike ,16.95,0.88,7.14,0.65,0
Potter,11.75,9.18,16.19,0,0
Schuylkill,42.21,3.12,28.14,0.11,0.64
Snyder,3.47,8.09,35.22,0,0
Somerset,17.79,15.59,27.64,0,0.65
Sullivan,17.45,7.02,18.26,0,1.05
Susquehanna,12.34,3.86,17.59,0,0.15
Tioga,7.5,6.47,20.12,0,0
Union,6.18,8.31,21.55,0,0
Venango,17.14,6.39,25.41,0.17,0
Warren,14.47,6.21,25.57,0,0
Washington,35.13,4.3,19.15,0.44,0.8
Wayne,32.46,1.69,19.93,1.05,0.49
Westmoreland,35.57,5.7,20.89,0.73,1.14
Wyoming,20.3,3.68,17.86,0,0
York ,9.89,7.46,25.96,0.47,0.63
