County,Urban,Rural
Adams,43.5,56.5
Allen,86.6,13.4
Bartholomew,68.3,31.7
Benton,0.0,100.0
Blackford,50.4,49.6
Boone,54.2,45.8
Brown,0.0,100.0
Carroll,19.7,80.3
Cass ,53.6,46.4
Clark,76.5,23.5
Clay ,37.9,62.1
Clinton,49.8,50.2
Crawford,0.0,100.0
Daviess,41.1,58.9
Dearborn,37.1,62.9
Decatur,42.3,57.7
DeKalb,58.1,41.9
Delaware,76.6,23.4
Dubois,47.2,52.8
Elkhart,78.2,21.8
Fayette,65.7,34.3
Floyd,79.3,20.7
Fountain,34.5,65.5
Franklin,20.4,79.6
Fulton,35.4,64.6
Gibson,46.4,53.6
Grant,71.2,28.8
Greene,35.1,64.9
Hamilton,88.4,11.6
Hancock,62.6,37.4
Harrison,12.7,87.3
Hendricks,70.4,29.6
Henry,55.5,44.5
Howard,78.1,21.9
Huntington,48.3,51.7
Jackson,56.2,43.8
Jasper,38.7,61.3
Jay ,43.1,56.9
Jefferson,55.1,44.9
Jennings,41.3,58.7
Johnson,83.1,16.9
Knox ,64.0,36.0
Kosciusko,46.6,53.4
LaGrange,9.3,90.7
Lake ,95.4,4.6
LaPorte,64.6,35.4
Lawrence,44.2,55.8
Madison,76.5,23.5
Marion,99.0,1.0
Marshall,36.9,63.1
Martin,26.6,73.4
Miami,50.6,49.4
Monroe,76.7,23.3
Montgomery,44.4,55.6
Morgan,46.7,53.3
Newton,2.6,97.4
Noble,33.6,66.4
Ohio ,0.0,100.0
Orange,32.2,67.8
Owen ,0.0,100.0
Parke,17.4,82.6
Perry,47.5,52.5
Pike ,20.4,79.6
Porter,78.2,21.8
Posey,30.9,69.1
Pulaski,18.4,81.6
Putnam,26.8,73.2
Randolph,36.4,63.6
Ripley,18.1,81.9
Rush ,40.1,59.9
Scott,91.5,8.5
Shelby,49.3,50.7
Spencer,43.6,56.4
St. Joseph,0.0,100.0
Starke,29.8,70.2
Steuben,31.5,68.5
Sullivan,33.5,66.5
Switzerland,0.0,100.0
Tippecanoe,84.5,15.5
Tipton,35.5,64.5
Union,0.0,100.0
Vanderburgh,89.9,10.1
Vermillion,41.4,58.6
Vigo ,75.1,24.9
Wabash,51.9,48.1
Warren,0.0,100.0
Warrick,71.4,28.6
Washington,23.0,77.0
Wayne,68.9,31.1
Wells,48.6,51.4
White,34.8,65.2
Whitley,24.2,75.8
